age,year,total,women,men,tooltipText
16-19,2000,294,279,304,this is a short string of text
20-24,2000,383,364,396,this is a medium-length string of text - it has more characters
25-34,2000,550,493,603,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
35-44,2000,631,520,731,this is a short string of text
45-54,2000,671,565,777,this is a medium-length string of text - it has more characters
55-64,2000,617,505,738,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
65+,2000,442,378,537,this is a short string of text
16-19,2001,304,287,319,this is a medium-length string of text - it has more characters
20-24,2001,395,375,410,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
25-34,2001,579,514,621,this is a short string of text
35-44,2001,658,545,755,this is a medium-length string of text - it has more characters
45-54,2001,693,588,799,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
55-64,2001,640,539,766,this is a short string of text
65+,2001,472,372,548,this is a medium-length string of text - it has more characters
16-19,2002,305,295,313,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
20-24,2002,399,384,410,this is a short string of text
25-34,2002,590,531,627,this is a medium-length string of text - it has more characters
35-44,2002,669,573,759,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
45-54,2002,707,603,808,this is a short string of text
55-64,2002,673,574,799,this is a medium-length string of text - it has more characters
65+,2002,502,428,583,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
16-19,2003,311,299,321,this is a short string of text
20-24,2003,402,387,412,this is a medium-length string of text - it has more characters
25-34,2003,594,546,628,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
35-44,2003,687,590,775,this is a short string of text
45-54,2003,723,609,834,this is a medium-length string of text - it has more characters
55-64,2003,708,601,827,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
65+,2003,516,435,612,this is a short string of text
16-19,2004,309,293,318,this is a medium-length string of text - it has more characters
20-24,2004,406,391,417,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
25-34,2004,604,561,639,this is a short string of text
35-44,2004,713,608,804,this is a medium-length string of text - it has more characters
45-54,2004,743,625,857,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
55-64,2004,725,615,843,this is a short string of text
65+,2004,560,478,641,this is a medium-length string of text - it has more characters
16-19,2005,318,304,330,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
20-24,2005,411,396,422,this is a short string of text
25-34,2005,610,573,644,this is a medium-length string of text - it has more characters
35-44,2005,731,621,822,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
45-54,2005,748,644,853,this is a short string of text
55-64,2005,742,639,855,this is a medium-length string of text - it has more characters
65+,2005,569,492,644,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
16-19,2006,324,305,348,this is a short string of text
20-24,2006,423,413,435,this is a medium-length string of text - it has more characters
25-34,2006,621,583,661,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
35-44,2006,748,645,836,this is a short string of text
45-54,2006,773,659,897,this is a medium-length string of text - it has more characters
55-64,2006,765,658,902,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
65+,2006,583,510,658,this is a short string of text
16-19,2007,337,318,357,this is a medium-length string of text - it has more characters
20-24,2007,450,426,472,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
25-34,2007,643,597,687,this is a short string of text
35-44,2007,769,668,873,this is a medium-length string of text - it has more characters
45-54,2007,790,677,909,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
55-64,2007,803,679,933,this is a short string of text
